House,1,2,3,4,5,6,7,8,9,10,11,12
Adams,24,32,34,37,51,45,42,36,26,20,28,44
Cabot,16,17,31,24,18,23,24,23,41,57,86,59
Currier,19,24,20,22,23,25,18,25,34,61,71,77
Dunster,41,84,62,45,49,35,38,20,22,8,12,3
Eliot,27,39,40,42,49,39,34,47,37,18,29,18
Kirkland,16,21,24,46,39,52,41,52,41,42,22,23
Leverett,12,31,40,44,40,51,58,51,41,31,13,7
Lowell,16,27,28,38,41,43,43,39,38,32,29,45
Mather,21,13,18,24,26,21,34,47,61,26,52,76
Pforzheimer,21,23,28,16,20,21,31,28,44,93,50,44
Quincy,34,42,56,51,40,47,38,36,24,23,20,8
Winthrop,172,66,38,30,23,17,18,15,10,8,7,15
